Speed (Without Acceleration),Angle Speed,Ticks per Step (First),Ticks per Step (Periodic),Ticks per Step (Average),Steps per Second,Angles Before Gravity (Average),Angles Before Reset (Average)
5104,2647,,8,8.0,3.75,42430,116788
5105,2648,,8,8.0,3.75,42444,116823
5106,2649,,8,8.0,3.75,42458,116858
5107,2650,,8,8.0,3.75,42472,116893
5108,2651,,8,8.0,3.75,42486,116928
5109,2652,,8,8.0,3.75,42500,116963
5110,2653,,8,8.0,3.75,42514,116998
5111,2654,,8,8.0,3.75,42528,117033
5112,2655,,8,8.0,3.75,42538,117061
5113,2656,,8,8.0,3.75,42552,117096
5114,2657,,8,8.0,3.75,42566,117131
5115,2658,,8,8.0,3.75,42580,117166
5116,2659,,8,8.0,3.75,42594,117201
5117,2660,,8,8.0,3.75,42608,117236
5118,2661,,8,8.0,3.75,42622,117271
5119,2662,,8,8.0,3.75,42636,117306
5120,2663,,8,8.0,3.75,42650,117341
5121,2664,,8,8.0,3.75,42660,117369
5122,2665,,8,8.0,3.75,42674,117404
5123,2666,,8,8.0,3.75,42688,117439
5124,2667,,8,8.0,3.75,42702,117474
5125,2668,,8,8.0,3.75,42716,117509
5126,2669,,8,8.0,3.75,42730,117544
5127,2670,,8,8.0,3.75,42744,117579
5128,2671,,8,8.0,3.75,42758,117614
5129,2672,,8,8.0,3.75,42772,117649
5130,2673,,8,8.0,3.75,42782,117677
5131,2674,,8,8.0,3.75,42796,117712
5132,2675,,8,8.0,3.75,42810,117747
5133,2676,,8,8.0,3.75,42824,117782
5134,2677,,8,8.0,3.75,42838,117817
5135,2678,,8,8.0,3.75,42852,117852
5136,2679,,8,8.0,3.75,42866,117887
5137,2680,,8,8.0,3.75,42880,117922
5138,2681,,8,8.0,3.75,42894,117957
5139,2682,,8,8.0,3.75,42904,117985
5140,2683,,8,8.0,3.75,42918,118020
5141,2684,,8,8.0,3.75,42932,118055
5142,2685,,8,8.0,3.75,42946,118090
5143,2686,,8,8.0,3.75,42960,118125
5144,2687,,8,8.0,3.75,42974,118160
5145,2688,,8,8.0,3.75,42988,118195
5146,2689,,8,8.0,3.75,43002,118230
5147,2690,,8,8.0,3.75,43016,118265
5148,2691,,8,8.0,3.75,43026,118293
5149,2692,,8,8.0,3.75,43040,118328
5150,2693,,8,8.0,3.75,43054,118363
5151,2694,,8,8.0,3.75,43068,118398
5152,2695,,8,8.0,3.75,43082,118433
5153,2696,,8,8.0,3.75,43096,118468
5154,2697,,8,8.0,3.75,43110,118503
5155,2698,,8,8.0,3.75,43124,118538
5156,2699,,8,8.0,3.75,43138,118573
5157,2700,,8,8.0,3.75,43148,118601
5158,2701,,8,8.0,3.75,43162,118636
5159,2702,,8,8.0,3.75,43176,118671
5160,2703,,8,8.0,3.75,43190,118706
5161,2704,,8,8.0,3.75,43204,118741
5162,2705,,8,8.0,3.75,43218,118776
5163,2706,,8,8.0,3.75,43232,118811
5164,2707,,8,8.0,3.75,43246,118846
5165,2708,,8,8.0,3.75,43260,118881
5166,2709,,8,8.0,3.75,43270,118909
5167,2710,,8,8.0,3.75,43284,118944
5168,2711,,8,8.0,3.75,43298,118979
5169,2712,,8,8.0,3.75,43312,119014
5170,2713,,8,8.0,3.75,43326,119049
5171,2714,,8,8.0,3.75,43340,119084
5172,2715,,8,8.0,3.75,43354,119119
5173,2716,,8,8.0,3.75,43368,119154
5174,2717,,8,8.0,3.75,43382,119189
5175,2718,,8,8.0,3.75,43392,119217
5176,2719,,8,8.0,3.75,43406,119252
5177,2720,,8,8.0,3.75,43420,119287
5178,2721,,8,8.0,3.75,43434,119322
5179,2722,,8,8.0,3.75,43448,119357
5180,2723,,8,8.0,3.75,43462,119392
5181,2724,,8,8.0,3.75,43476,119427
5182,2725,,8,8.0,3.75,43490,119462
5183,2726,,8,8.0,3.75,43504,119497
